id;i_dorder;i_dcooperative;i_dcustomer;i_dcourse;total_price;date;state
1;48469;32217;74058;74141;224;2020-04-17T23:42:22;OnTheWay
2;6249;69947;20742;55341;81;2020-04-17T23:17:09;PickedUp
3;96360;61547;80077;29939;56;2020-04-18T00:20:28;PickedUp
4;59476;40656;3682;37759;124;2020-04-18T06:59:40;PickedUp
5;12661;41371;74641;14645;46;2020-04-18T10:45:25;OnTheWay
6;7374;3657;80522;89163;40;2020-04-18T12:11:14;OnTheWay
7;85604;9776;56864;45175;93;2020-04-18T09:35:12;PickedUp
8;45390;9978;28537;90448;112;2020-04-18T20:16:23;OnTheWay
9;4373;67766;82587;91160;6;2020-04-18T09:34:12;Delivered
10;73833;78745;68075;82880;165;2020-04-18T21:09:47;PickedUp
